,"Consumer Price Index for All Urban Consumers (CPI-U): U.S. city average, by expenditure category, October 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[1982-84=100, unless otherwise noted]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indent Level,Expenditure category,"Relative
importance
Sep.
2021",Unadjusted indexes,,,,,,,,,,,,,Seasonally adjusted indexes,,,,,,,,,,,,,Unadjusted percent change,,,,Seasonally adjusted percent change,,,One Month,,,,Twelve Month,,,
,,,"Oct.
2020","Nov.
2020","Dec.
2020","Jan.
2021","Feb.
2021","Mar.
2021","Apr.
2021","May
2021","Jun.
2021","Jul.
2021","Aug.
2021","Sep.
2021","Oct.
2021","Oct.
2020","Nov.
2020","Dec.
2020","Jan.
2021","Feb.
2021","Mar.
2021","Apr.
2021","May
2021","Jun.
2021","Jul.
2021","Aug.
2021","Sep.
2021","Oct.
2021","Oct.
2020-
Oct.
2021","Jul.
2021-
Aug.
2021","Aug.
2021-
Sep.
2021","Sep.
2021-
Oct.
2021","Jul.
2021-
Aug.
2021","Aug.
2021-
Sep.
2021","Sep.
2021-
Oct.
2021","Seasonally adjusted effect on All Items
Sep. 2021-
Oct. 2021(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) seasonally adjusted change since:(3),,"Unadjusted effect on All Items
Oct. 2020-
Oct. 2021(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) unadjusted change since:(3),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,Percent change,,,Date,Percent change
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,All items,100.000,260.388,260.229,260.474,261.582,263.014,264.877,267.054,269.195,271.696,273.003,273.567,274.310,276.589,260.462,260.927,261.560,262.231,263.161,264.793,266.832,268.551,270.981,272.265,273.012,274.138,276.724,6.2,0.2,0.3,0.8,0.3,0.4,0.9,,0.04,L-Jun. 2021,0.9,,0.09,L-Nov. 1990,6.3
1,Food,13.977,269.828,269.069,270.023,270.938,271.363,271.812,273.090,274.212,276.206,278.127,279.135,281.506,284.205,269.833,269.746,270.656,270.880,271.327,271.632,272.658,273.866,275.993,277.985,279.084,281.668,284.225,5.3,0.4,0.8,1.0,0.4,0.9,0.9,0.127,0.10,–,–,0.752,0.16,L-Jan. 2009,5.3
2,Food at home,7.716,251.937,250.407,251.253,252.107,252.716,253.231,254.760,255.516,257.412,259.022,259.825,262.695,265.478,251.945,251.551,252.324,252.007,252.656,252.927,254.029,254.931,257.052,258.782,259.739,262.969,265.512,5.4,0.3,1.1,1.1,0.4,1.2,1.0,0.075,0.15,S-Aug. 2021,0.4,0.419,0.24,L-Jun. 2020,5.6
3,Cereals and bakery products,0.979,284.740,282.782,283.735,282.911,284.095,284.746,285.377,286.649,286.761,289.533,288.990,292.069,294.625,285.088,284.227,285.029,282.886,284.340,284.002,285.055,286.440,285.542,288.886,288.921,291.964,294.985,3.5,-0.2,1.1,0.9,0.0,1.1,1.0,0.010,0.40,S-Aug. 2021,0.0,0.035,0.52,L-May 2012,3.7
4,Cereals and cereal products,0.296,232.244,230.994,232.794,232.504,231.699,232.402,231.213,233.894,234.892,236.236,236.194,236.183,239.371,233.314,233.384,234.382,233.115,232.214,231.878,230.712,233.057,233.155,234.396,235.159,236.574,240.473,3.1,0.0,0.0,1.3,0.3,0.6,1.6,0.005,0.50,L-Apr. 2020,1.9,0.009,0.79,L-Dec. 2020,3.5
5,Flour and prepared flour mixes,0.042,238.125,232.226,232.911,239.720,238.561,239.229,235.836,241.371,242.767,245.336,248.823,250.198,249.956,240.812,242.353,242.423,238.482,237.237,239.066,234.485,237.605,239.590,240.257,245.144,247.743,252.777,5.0,1.4,0.6,-0.1,2.0,1.1,2.0,0.001,0.83,L-Aug. 2021,2.0,0.002,1.47,L-Jul. 2012,5.0
5,Breakfast cereal(4),0.136,226.858,225.593,227.887,226.376,223.913,225.778,225.246,228.209,229.794,229.959,229.855,229.122,236.615,226.858,225.593,227.887,226.376,223.913,225.778,225.246,228.209,229.794,229.959,229.855,229.122,236.615,4.3,0.0,-0.3,3.3,0.0,-0.3,3.3,0.004,0.92,L-Feb. 2007,3.3,0.006,1.30,L-Feb. 2012,4.5
