,"Consumer Price Index for All Urban Consumers (CPI-U): U.S. city average, by expenditure category, October 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[1982-84=100, unless otherwise noted]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indent Level,Expenditure category,"Relative
importance
Sep.
2023",Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Unadjusted percent change,Unadjusted percent change,Unadjusted percent change,Unadjusted percent change,Seasonally adjusted percent change,Seasonally adjusted percent change,Seasonally adjusted percent change,One Month,One Month,One Month,One Month,Twelve Month,Twelve Month,Twelve Month,Twelve Month
,,,"Oct.
2022","Nov.
2022","Dec.
2022","Jan.
2023","Feb.
2023","Mar.
2023","Apr.
2023","May
2023","Jun.
2023","Jul.
2023","Aug.
2023","Sep.
2023","Oct.
2023","Oct.
2022","Nov.
2022","Dec.
2022","Jan.
2023","Feb.
2023","Mar.
2023","Apr.
2023","May
2023","Jun.
2023","Jul.
2023","Aug.
2023","Sep.
2023","Oct.
2023","Oct.
2022-
Oct.
2023","Jul.
2023-
Aug.
2023","Aug.
2023-
Sep.
2023","Sep.
2023-
Oct.
2023","Jul.
2023-
Aug.
2023","Aug.
2023-
Sep.
2023","Sep.
2023-
Oct.
2023","Seasonally adjusted effect on All Items
Sep. 2023-
Oct. 2023(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) seasonally adjusted change since:(3),Largest (L) or Smallest (S) seasonally adjusted change since:(3),"Unadjusted effect on All Items
Oct. 2022-
Oct. 2023(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) unadjusted change since:(3),Largest (L) or Smallest (S) unadjusted change since:(3)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,Percent change,,,Date,Percent change
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,All items,100.000,298.012,297.711,296.797,299.170,300.840,301.836,303.363,304.127,305.109,305.691,307.026,307.789,307.671,297.987,298.598,298.990,300.536,301.648,301.808,302.918,303.294,303.841,304.348,306.269,307.481,307.619,3.2,0.4,0.2,0.0,0.6,0.4,0.0,,0.04,S-Jul. 2022,0.0,,0.12,S-Jul. 2023,3.2
1,Food,13.372,315.323,315.857,316.839,319.136,320.569,320.863,321.566,322.249,322.556,323.523,324.100,324.704,325.731,314.950,316.694,318.109,319.716,320.954,321.000,321.078,321.729,322.071,322.837,323.620,324.374,325.343,3.3,0.2,0.2,0.3,0.2,0.2,0.3,0.040,0.09,L-Feb. 2023,0.4,0.444,0.19,S-Jun. 2021,2.4
2,Food at home,8.552,298.401,298.284,299.089,301.435,302.483,301.918,302.328,302.535,302.335,303.455,303.716,303.925,304.788,297.831,299.563,301.028,302.284,303.046,302.120,301.613,301.774,301.626,302.452,303.012,303.443,304.220,2.1,0.1,0.1,0.3,0.2,0.1,0.3,0.022,0.13,L-Jul. 2023,0.3,0.185,0.26,S-Jun. 2021,0.9
