,"Consumer Price Index for All Urban Consumers (CPI-U): U.S. city average, by expenditure category, October 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[1982-84=100, unless otherwise noted]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indent Level,Expenditure category,"Relative
importance
Sep.
2018",Unadjusted indexes,,,,,,,,,,,,,Seasonally adjusted indexes,,,,,,,,,,,,,Unadjusted percent change,,,,Seasonally adjusted percent change,,,One Month,,,,Twelve Month,,,
,,,"Oct.
2017","Nov.
2017","Dec.
2017","Jan.
2018","Feb.
2018","Mar.
2018","Apr.
2018","May
2018","Jun.
2018","Jul.
2018","Aug.
2018","Sep.
2018","Oct.
2018","Oct.
2017","Nov.
2017","Dec.
2017","Jan.
2018","Feb.
2018","Mar.
2018","Apr.
2018","May
2018","Jun.
2018","Jul.
2018","Aug.
2018","Sep.
2018","Oct.
2018","Oct.
2017-
Oct.
2018","Jul.
2018-
Aug.
2018","Aug.
2018-
Sep.
2018","Sep.
2018-
Oct.
2018","Jul.
2018-
Aug.
2018","Aug.
2018-
Sep.
2018","Sep.
2018-
Oct.
2018","Seasonally adjusted effect on All Items
Sep. 2018-
Oct. 2018(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) seasonally adjusted change since:(3),,"Unadjusted effect on All Items
Oct. 2017-
Oct. 2018(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) unadjusted change since:(3),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,Percent change,,,Date,Percent change
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,All items,100.000,246.663,246.669,246.524,247.867,248.991,249.554,250.546,251.588,251.989,252.006,252.146,252.439,252.885,246.583,247.411,247.910,249.245,249.619,249.462,250.013,250.535,250.857,251.286,251.846,251.994,252.827,2.5,0.1,0.1,0.2,0.2,0.1,0.3,,0.03,L-Jan. 2018,0.5,,0.07,L-Aug. 2018,2.7
1,Food,13.235,251.364,250.871,251.238,252.361,252.266,252.370,253.209,253.098,253.231,253.746,254.077,254.393,254.358,251.022,251.092,251.578,252.070,252.061,252.388,253.056,253.122,253.567,253.927,254.157,254.234,254.036,1.2,0.1,0.1,0.0,0.1,0.0,-0.1,-0.010,0.06,S-May 2016,-0.2,0.159,0.10,S-May 2018,1.2
2,Food at home,7.256,239.543,238.403,238.579,239.828,239.190,239.158,240.129,239.287,239.158,239.820,240.015,240.125,239.882,238.976,238.769,239.143,239.325,238.837,239.188,239.867,239.328,239.737,240.131,240.153,239.850,239.327,0.1,0.1,0.0,-0.1,0.0,-0.1,-0.2,-0.016,0.10,S-May 2018,-0.2,0.009,0.16,S-May 2018,0.1
3,Cereals and bakery products,0.955,270.858,269.646,269.847,272.273,271.245,272.345,271.766,271.910,273.682,273.258,273.338,273.729,272.260,271.085,270.570,270.883,271.600,271.270,272.296,271.676,271.720,273.229,272.579,272.643,274.270,272.488,0.5,0.0,0.1,-0.5,0.0,0.6,-0.6,-0.006,0.25,S-Mar. 2016,-0.6,0.005,0.30,S-Aug. 2018,0.3
