,"Consumer Price Index for All Urban Consumers (CPI-U): U.S. city average, by expenditure category, October 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[1982-84=100, unless otherwise noted]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indent Level,Expenditure category,"Relative
importance
Sep.
2020",Unadjusted indexes,,,,,,,,,,,,,Seasonally adjusted indexes,,,,,,,,,,,,,Unadjusted percent change,,,,Seasonally adjusted percent change,,,One Month,,,,Twelve Month,,,
,,,"Oct.
2019","Nov.
2019","Dec.
2019","Jan.
2020","Feb.
2020","Mar.
2020","Apr.
2020","May
2020","Jun.
2020","Jul.
2020","Aug.
2020","Sep.
2020","Oct.
2020","Oct.
2019","Nov.
2019","Dec.
2019","Jan.
2020","Feb.
2020","Mar.
2020","Apr.
2020","May
2020","Jun.
2020","Jul.
2020","Aug.
2020","Sep.
2020","Oct.
2020","Oct.
2019-
Oct.
2020","Jul.
2020-
Aug.
2020","Aug.
2020-
Sep.
2020","Sep.
2020-
Oct.
2020","Jul.
2020-
Aug.
2020","Aug.
2020-
Sep.
2020","Sep.
2020-
Oct.
2020","Seasonally adjusted effect on All Items
Sep. 2020-
Oct. 2020(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) seasonally adjusted change since:(3),,"Unadjusted effect on All Items
Oct. 2019-
Oct. 2020(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) unadjusted change since:(3),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,Percent change,,,Date,Percent change
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,All items,100.000,257.346,257.208,256.974,257.971,258.678,258.115,256.389,256.394,257.797,259.101,259.918,260.280,260.388,257.229,257.824,258.444,258.820,259.050,257.953,255.902,255.768,257.214,258.723,259.681,260.209,260.325,1.2,0.3,0.1,0.0,0.4,0.2,0.0,,0.04,S-May 2020,-0.1,,0.08,S-Jul. 2020,1.0
1,Food,14.084,259.632,259.467,259.823,261.057,261.876,262.708,266.757,268.439,269.770,268.863,269.079,269.163,269.828,259.454,259.799,260.199,260.738,261.696,262.588,266.493,268.417,270.044,268.937,269.130,269.152,269.655,3.9,0.1,0.0,0.2,0.1,0.0,0.2,0.026,0.07,L-Jun. 2020,0.6,0.539,0.15,–,–
2,Food at home,7.781,242.340,241.726,241.750,243.110,244.054,245.163,251.717,253.827,255.042,252.563,252.352,251.369,251.937,242.034,242.296,242.399,242.572,243.749,244.960,251.271,253.789,255.505,252.687,252.439,251.351,251.644,4.0,-0.1,-0.4,0.2,-0.1,-0.4,0.1,0.009,0.12,L-Jun. 2020,0.7,0.301,0.19,S-Mar. 2020,1.1
3,Cereals and bakery products,1.004,276.470,276.166,275.036,275.916,276.641,277.646,285.160,284.937,286.092,285.204,284.472,284.416,284.740,277.002,277.285,276.395,275.255,276.733,277.050,285.043,284.556,285.686,284.643,284.193,284.316,285.288,3.0,-0.3,0.0,0.1,-0.2,0.0,0.3,0.003,0.30,L-Jun. 2020,0.4,0.030,0.44,L-Jun. 2020,3.3
