,"Consumer Price Index for All Urban Consumers (CPI-U): U.S. city average, by expenditure category, October 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[1982-84=100, unless otherwise noted]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indent Level,Expenditure category,"Relative
importance
Sep.
2022",Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Unadjusted percent change,Unadjusted percent change,Unadjusted percent change,Unadjusted percent change,Seasonally adjusted percent change,Seasonally adjusted percent change,Seasonally adjusted percent change,One Month,One Month,One Month,One Month,Twelve Month,Twelve Month,Twelve Month,Twelve Month
,,,"Oct.
2021","Nov.
2021","Dec.
2021","Jan.
2022","Feb.
2022","Mar.
2022","Apr.
2022","May
2022","Jun.
2022","Jul.
2022","Aug.
2022","Sep.
2022","Oct.
2022","Oct.
2021","Nov.
2021","Dec.
2021","Jan.
2022","Feb.
2022","Mar.
2022","Apr.
2022","May
2022","Jun.
2022","Jul.
2022","Aug.
2022","Sep.
2022","Oct.
2022","Oct.
2021-
Oct.
2022","Jul.
2022-
Aug.
2022","Aug.
2022-
Sep.
2022","Sep.
2022-
Oct.
2022","Jul.
2022-
Aug.
2022","Aug.
2022-
Sep.
2022","Sep.
2022-
Oct.
2022","Seasonally adjusted effect on All Items
Sep. 2022-
Oct. 2022(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) seasonally adjusted change since:(3),Largest (L) or Smallest (S) seasonally adjusted change since:(3),"Unadjusted effect on All Items
Oct. 2021-
Oct. 2022(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) unadjusted change since:(3),Largest (L) or Smallest (S) unadjusted change since:(3)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,Percent change,,,Date,Percent change
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,All items,100.000,276.589,277.948,278.802,281.148,283.716,287.504,289.109,292.296,296.311,296.276,296.171,296.808,298.012,276.590,278.524,280.126,281.933,284.182,287.708,288.663,291.474,295.328,295.271,295.620,296.761,298.062,7.7,0.0,0.2,0.4,0.1,0.4,0.4,,0.04,–,–,,0.09,S-Jan. 2022,7.5
1,Food,13.705,284.205,285.507,286.966,289.772,292.794,295.728,298.711,302.038,305.041,308.532,310.875,313.142,315.323,283.912,286.050,287.440,289.959,292.912,295.809,298.379,301.879,304.867,308.220,310.664,313.101,314.983,10.9,0.8,0.7,0.7,0.8,0.8,0.6,0.082,0.09,S-Dec. 2021,0.5,1.468,0.19,S-Jul. 2022,10.9
2,Food at home,8.507,265.478,266.384,267.555,270.711,274.568,278.612,282.161,285.953,288.884,292.972,295.007,296.771,298.401,264.983,267.303,268.356,270.996,274.747,278.735,281.653,285.711,288.618,292.495,294.684,296.708,297.882,12.4,0.7,0.6,0.5,0.7,0.7,0.4,0.034,0.13,S-Dec. 2021,0.4,1.009,0.29,S-Jun. 2022,12.2
